name,latin_name,temperature,length,location,food,kryjowka_info,breeding_info
Molinezja Ostrousta, Poecilia sphenops ,24 - 29°C,10 cm,Ameryka Płd.,"glony,mrożony,roślinny,suchy,żywy",<p>Lubi akwaria porośnięte bujną roślinnością z rozległą przestrzenią do pływania. Rybom warto zapewnić dekoracje z korzeni i kamieni. Molinezja zasiedla środkowe i górne partie zbiornika. <strong>Jest wrażliwa na niską temperaturę wody oraz jej wahania</strong>. Akwarium powinno być dobrze filtrowane i napowietrzane. Zalecane są częste podmiany wody.</p>,"Żerowanie: ,środek,Rozmnażanie: ,żyworodne,Pokarm: ,glony,, ,mrożony,, ,roślinny,, ,suchy,, ,żywy,Długość życia: ,4 lata"
Mieczyk Hellera, Xiphophorus hellerii ,24 - 27°C,12 cm,Ameryka Śr.,"glony,mrożony,roślinny,suchy,żywy","<p>Niewielką grupę można trzymać w ok 100l akwarium, minimum 80 cm długości, które powinno być dobrze oświetlone. <strong>W mniejszych zbiornikach karłowacieją</strong>, co prowadzi do chorób i ostatecznie zgonów. <strong>Na jednego samca powinny przypadać 2 – 3 samice</strong>. Samce wyznaczają rewiry. Zbiornik należy dobrze obsadzić roślinami wzdłuż ścian bocznych i tylnych, żeby zapewnić dostateczne schronienie samicom a zarazem rozległą przestrzenią do pływania dla innych ryb. Mieczyki można trzymać z mniejszymi pielęgnicami lub innymi jajożyworodnymi karpieńcokształtnymi. W akwarium ogólnym z rybkami o podobnych wymaganiach środowiskowych.</p>","Żerowanie: ,środek,Rozmnażanie: ,żyworodne,Pokarm: ,glony,, ,mrożony,, ,roślinny,, ,suchy,, ,żywy,Długość życia: ,4 lata"
Miedzik obrzeżony, Hasemania nana ,23 - 28°C,5 cm,Ameryka Płd.,"mrożony,suchy,żywy","<p>Miedziki obrzeżone <strong>łatwo adaptują się do różnych warunków</strong>, dobrze będą się czuły w przestronnym (min. 54 l), bogato udekorowanym i częściowo gęsto zarośniętym zbiorniku nawet pomimo tego iż nie tak wygląda ich naturalne środowisko. Jeżeli chcemy odwzorować ich naturalny biotop to na dno wysypujemy piasek, umieszczamy kilka suchych, poskręcanych korzeni i dodajemy wysuszone liście np. dębu. W takich warunkach i niezbyt jaskrawym świetle ukazują swoje najlepsze ubarwienie.</p>","Żerowanie: ,środek,Rozmnażanie: ,jajorodne,Pokarm: ,mrożony,, ,suchy,, ,żywy,Długość życia: ,5 lat"
Molinezja żaglopłetwa, Poecilia velifera ,22 - 28°C,15 cm,Ameryka Śr.,"glony,mrożony,roślinny,suchy,żywy","<p>Niewielka grupa tych ryb wymaga przestronnego akwarium z dużą przestrzenią do pływania o długości min. 90 cm. Najlepiej trzymać jednego samca w towarzystwie 3 samic. Lubią mocno oświetlone zbiorniki, obsadzone roślinami i z silnym wymuszonym prądem wody. Najlepiej czują się w lekko słonawej wodzie. W akwarium słodkowodnym do prawidłowego rozwoju wymagają twardej i alkalicznej wody. Co ciekawe Molinezja Żaglopłetwa nie powinna mieć problemów z zaadoptowaniem się do akwarium typowo morskiego. W porównaniu do gatunków pokrewnych jest mniej tolerancyjna na zanieczyszczenia, wymaga więc stabilnych parametrów i częstych podmian wody.</p>","Żerowanie: ,przy tafli wody,, ,środek,Rozmnażanie: ,żyworodne,Pokarm: ,glony,, ,mrożony,, ,roślinny,, ,suchy,, ,żywy,Długość życia: ,3 - 5 lat"
Motylowiec, Pantodon buchholzi ,23 - 30°C,12 cm,Afryka,"mrożony,żywy","<p>Wymagają minimum 90 cm długości akwarium, najlepiej z niskim (15 – 20 cm) poziomem wody i koniecznie przykryte. Najlepiej czują się w wodzie miękkiej i kwaśnej, z dużą ilością garbników. Ruch wody jak i oświetlenie powinno być ograniczone do minimum. Najważniejszą dekoracją są rośliny pływające, reszta poniżej górnej partii wody, praktycznie nie ma dla tych ryb znaczenia. Wydają się mniej płochliwe w zbiorniku z ciemnym podłożem.</p>","Żerowanie: ,przy tafli wody,Rozmnażanie: ,jajorodne,Pokarm: ,mrożony,, ,żywy,Długość życia: ,5 lat"
Danio tęczowy, Brachydanio albolineata ,16 - 25°C,5 - 6 cm,Azja,łagodne,"<p>Szczególnie efektownie prezentują się w akwariach mocno obsadzonych roślinami, z ciemnym podłożem. W jasnym, ubogim otoczeniu ich kolory mogą być wyblakłe. Najlepiej będą się czuły w akwarium urządzonym na wzór płynącej rzeki, z różnej wielkości żwirowym podłożem, kilkoma większymi gładkimi kamieniami oraz bujną roślinnością. Aby zapewnić odpowiedni ruch wody można użyć dodatkowych cyrkulatorów, jednak jednocześnie nie powinien on być zbyt silny. W przyrodzie mniejsze gatunki danio zamieszkują spokojniejsze odcinki strumieni i strefy brzegowe. Jako dekoracja mogą posłużyć również korzenie, gałęzie i wytrzymałe rośliny wodne np. Mikrozorium, Bolbitis czy Anubias, które mogą rosnąć  przymocowane do obiektów. Akwarium musi być dobrze przykryte, ponieważ Danio są doskonałymi skoczkami i potrafią wyskoczyć nawet przez zaskakująco wąską szczelinę.</p>","Żerowanie: ,przy tafli wody,, ,środek,Rozmnażanie: ,jajorodne,Usposobienie: ,łagodne,Trudność hodowli: ,łatwa,Pokarm: ,mrożony,, ,suchy,, ,żywy,Długość życia: ,5 lat"
Drewniak dwubarwny, Bunocephalus coracoideus ,20 - 27°C,15 cm,Ameryka Płd.,"mrożony,suchy,żywy","<p>Drewniaki są mało aktywnymi rybami, przez co potrzebują stosunkowo niewiele miejsca. Wysokość akwarium nie jest istotna, jednak podstawa powinna mieć co najmniej 60 cm długości. W zbiorniku powinno być wiele ciemnych i słabo oświetlonych miejsc. Do dekoracji można użyć drewna, korzeni i kamieni oraz suchych liści np. dębu. Ryby chętnie zakopują się w podłożu, dlatego dobrze aby miało ono minimum kilka cm grubości.</p>","Żerowanie: ,przy dnie,Rozmnażanie: ,jajorodne,Pokarm: ,mrożony,, ,suchy,, ,żywy,Długość życia: ,8 - 12 lat"
Długonos ciernisty – Węgorzyk, Macrognathus aculeatus ,22 - 28°C,30 cm,Azja,"mrożony,suchy,żywy","<p>Długonosy cierniste <strong>nie nadają się dla początkującego akwarysty</strong>. Wymagają przestronnego, dobrze filtrowanego akwarium długości co najmniej 120 cm z licznymi kryjówkami i miękkim podłożem, w którym mogły by kopać. Do dekoracji możemy użyć, kamieni, korzeni, gałęzi czy rurek PCV. Wszelkie ukorzeniające się w ziemi rośliny będą wykopywać. Najlepiej czują się w wodzie miękkiej i średnio-twardej, dobrze natlenionej. Preferują niezbyt jasne oświetlenie. Akwarium powinno być przykryte aby zapobiec wyskakiwaniu ryb.</p>","Żerowanie: ,przy dnie,Rozmnażanie: ,jajorodne,Pokarm: ,mrożony,, ,suchy,, ,żywy,Długość życia: ,8 - 18 lat"
Drobniczka jednodniówka, Heterandria formosa ,20 - 26°C,3.5 cm,Ameryka Śr.,łagodne,"<p>Świetnie nadają się do popularnych ostatnio nano akwariów. <strong>Dla pary drobniczek wystarczy już ok. 15 litrowe akwarium</strong>, gęsto obsadzone roślinami, dobrze naświetlone, filtrowane, ale z niezbyt silnym ruchem wody. Grzałka nie jest konieczna. Wytrzymują szeroki zakres temperatur, w tym naprawdę niskie, rzędu nawet 6°C. Jako najodpowiedniejszy zaleca się jednak przedział 20 – 26°C. W cieplejszym klimacie, latem, mogą być trzymane w przydomowych oczkach wodnych.</p>","Żerowanie: ,przy tafli wody,Rozmnażanie: ,żyworodne,Usposobienie: ,łagodne,Trudność hodowli: ,łatwa,Pokarm: ,glony,, ,roślinny,, ,suchy,, ,żywy,Długość życia: ,1 - 3 lat"
Drobnotka nadobna, Neoheterandria elegans ,22 - 26°C,2.5 cm,Ameryka Płd.,bardzo łagodne,"<p>Nie mają dużych wymagań, dla pary można pokusić się nawet o 20 litrowe akwarium, preferowane jednak większe. Dla grupy wystarczające będzie 30 l akwarium, miejscowo gęsto obsadzone roślinnością, z łagodnym ruchem wody. Lubią przebywać blisko tafli wody, wśród roślinności pływającej. Woda powinna być dobrej jakości, zaleca się podmiany ok. 40-50% przynajmniej raz w tygodniu.</p>","Żerowanie: ,przy tafli wody,Rozmnażanie: ,żyworodne,Usposobienie: ,bardzo łagodne,Trudność hodowli: ,łatwa,Pokarm: ,glony,, ,mrożony,, ,roślinny,, ,suchy,, ,żywy,Długość życia: ,2 lata"
Drobnoustek Beckforda – ozdobny, Nannostomus beckfordi ,22 - 27°C,5 - 6 cm,Ameryka Płd.,"mrożony,suchy,żywy","<p>Nieduże stadko Drobnoustków Beckforda wymaga przynajmniej <strong>60 cm długości akwarium</strong>, gęsto obsadzonego roślinami. Najładniej prezentować się będą na tle ciemnego podłoża. Światło nie powinno być zbyt jaskrawe, najlepiej stłumione roślinnością pływającą. Lubią załamania światła promieni wpadających do zbiornika. Zalecane są również korzenie i suche liście, które dodadzą bardziej naturalnego wyglądu, a także uwalniają pożądane garbniki.</p>","Żerowanie: ,przy tafli wody,Rozmnażanie: ,jajorodne,Pokarm: ,mrożony,, ,suchy,, ,żywy,Długość życia: ,5 - 6 lat"
Drobnoustek obrzeżony, Nannostomus marginatus ,22 - 28°C,3.5 cm,Ameryka Płd.,"mrożony,suchy,żywy","<p>Grupka tych rybek może być trzymana już w 30 litrowym akwarium, najlepiej gęsto obsadzonym roślinnością, również tą pływającą, która da wskazane zacienienie. Lubią promienie światła wpadające do zbiornika punktowo. Dobrym dodatkiem będą także korzenie oraz suche liście. Drobnoustki lepiej prezentują się na tle ciemnego podłoża. Woda powinna być bardzo miękka lub miękka, kwaśna do alkalicznej o temperaturze 22-28 C, z dodatkiem garbników. W<strong>ymagają stabilnych parametrów wody, nigdy nie należy ich wprowadzać do niedojrzałego zbiornika.</strong></p>","Żerowanie: ,przy tafli wody,Rozmnażanie: ,jajorodne,Pokarm: ,mrożony,, ,suchy,, ,żywy,Długość życia: ,2 - 5 lat"
Duch Amazoński – Brazylijski, Apteronotus albifrons ,23 - 28°C,30 cm,Ameryka Płd.,"mrożony,suchy,żywy","<p><strong>Wymagają przestronnego zbiornika co najmniej 350 litrów</strong>, z licznymi kryjówkami np. z kamieni, korzeni, gałęzi, rurek PCV, rurek glinianych itp. Preferują słabe oświetlenie a najlepiej jego brak. Wymagany bardzo wydajny filtr. Woda powinna być przynajmniej raz w tygodniu podmieniana na świeżą w ilości 30-50%. Przydatna będzie również lampa UV, która zniweluje ryzyko choroby. Ryby te lubią dość silny prąd wody.</p>","Żerowanie: ,przy dnie,Rozmnażanie: ,jajorodne,Pokarm: ,mrożony,, ,suchy,, ,żywy,Długość życia: ,7 - 15 lat"
Garra panda, Garra flavatra ,19 - 27°C,7 - 9 cm,Azja,"glony,mrożony,roślinny,suchy,żywy","<p>Dla pojedynczej sztuki wystarczy akwarium o długości 60 cm, ale dla niewielkiej grupy pand zaleca się min. 90 cm długości, preferowane ok. 200 l lub większe. Zbiornik powinien być urządzony na wzór płynącej rzeki, z piaszczysto żwirowym podłożem oraz gładkimi kamieniami i głazami. Dodatkowo można umieścić drewno, korzenie i gałęzie, a także wytrzymałe rośliny wodne np. Mikrozorium, Bolbiti, Anubias, które mogą rosnąć przymocowane do dekoracji.</p>","Żerowanie:,Rozmnażanie: ,jajorodne,Pokarm: ,glony,, ,mrożony,, ,roślinny,, ,suchy,, ,żywy,Długość życia: ,5 - 8 lat"
Fantom czarny – Barwieniec czarny, Hyphessobrycon megalopterus ,22 - 28°C,4.5 cm,Ameryka Płd.,"mrożony,suchy,żywy","<p style=""outline-width: 0px ! important; -moz-user-select: text ! important;"">W naturze zamieszkują przejrzyste, płynące wody, obfitujące roślinnością.  Ryby te dobrze się czują w zbiornikach gęsto obsadzonych roślinnością. W skąpiej udekorowanych akwariach bywają nieśmiałe a ich kolory nie są tak intensywne.</p>","Żerowanie: ,środek,Rozmnażanie: ,jajorodne,Pokarm: ,mrożony,, ,suchy,, ,żywy,Długość życia: ,3 - 5 lat"
Fantom czerwony – Barwieniec czerwony, Hyphessobrycon sweglesi ,22 - 27°C,4.5 cm,Ameryka Płd.,"mrożony,suchy,żywy","<p>Do urządzenia akwarium biotopowego dla Fantomów czerwonych potrzebne będą: podłoże (najlepiej piasek rzeczny), wysuszone drewno lub kilka poskręcanych korzeni, garść suchych liści (np. dąb, buk). Rośliny nie są naturalną cechą wód zamieszkiwanych przez te gatunek. Drewno i liście zabarwią wodę w akwarium na herbaciany kolor. Do tego celu można tez użyć woreczka z torfem, który umieszczamy w filtrze. Oświetlenie nie powinno być zbyt mocne.</p>","Żerowanie: ,środek,Rozmnażanie: ,jajorodne,Pokarm: ,mrożony,, ,suchy,, ,żywy,Długość życia: ,5 lat"
Błyszczyk parański, Moenkhausia sanctaefilomenae ,22 - 26°C,7 cm,Ameryka Płd.,umiarkowane,"<p>Dla niewielkiej grupy błyszczyków niezbędne jest min. 100 litrowe akwarium, o długości co najmniej 80 cm, częściowo gęsto porośnięte roślinami, niezbyt jasno oświetlone, z ciemnym podłożem. Aby nadać akwarium bardziej naturalnego charakteru możemy urządzić je na wzór biotopu Amazonki. Na dno wysypujemy substrat lub piasek rzeczny, a do dekoracji używamy kawałków drewna i powykręcanych korzeni lub gałęzi oraz suchych liści dębu lub buku. Drewno i liście będą oddawać do wody garbniki i zabarwią wodę na kolor słabej herbaty. Stare liście należy co jakiś czas podmieniać, aby nie gniły i nie zanieczyszczały wody.</p>","Żerowanie: ,środek,Rozmnażanie: ,jajorodne,Usposobienie: ,umiarkowane,Trudność hodowli: ,umiarkowana,Pokarm: ,mrożony,, ,suchy,, ,żywy,Długość życia: ,3 - 5 lat"
Garra rufa – Brzana ssąca, Garra rufa ,15 - 28°C,5 - 24 cm,Azja,"glony,mrożony,roślinny,suchy,żywy","<p>Ze względu na stadny tryb życia i dużą przemianę materii wymagają przestronnego akwarium o długości min. 120 cm, urządzonego na wzór rwącego strumienia lub rzeki, z piaszczystym  podłożem wymieszanym z drobnym żwirem oraz dekoracją z gładkich kamieni i korzeni na których mogą rosnąć wytrzymałe rośliny. Woda w nim musi być bardzo czysta i dobrze natleniona. Pomocne może być dodatkowy filtr i kamienie napowietrzające. Jasne oświetlenie zapewni wymagany przyrost glonów, które ryby chętnie przeszukują.</p>","Żerowanie: ,przy dnie,Rozmnażanie: ,jajorodne,Pokarm: ,glony,, ,mrożony,, ,roślinny,, ,suchy,, ,żywy,Długość życia: ,4 - 7 lat"
Bass słoneczny, Lepomis gibbosus ,4 - 22°C,15 - 30 cm,Ameryka Płn.,"agresywne,umiarkowane","<p>Minimalne akwarium dla grupy 6 młodych Bassów nie powinno mieć mniej niż 150 l, jednak zalecane 240 l i większe. Trzymane od małego w dużej przestrzeni po osiągnięciu pełnej dojrzałości będą mniej wojowniczo nastawione. Należy jednak pamiętać, że w czasie rozrodu, szczególnie samce, są bardzo terytorialne. Oprócz przestrzeni do pływania wymagają tez kryjówek i miejsc zacienionych. Do dekoracji można użyć kawałków suchego drewna, korzeni, gałęzi oraz kamieni. Sadzone rośliny powinny być mocne i wytrzymałe. Wskazana również roślinność pływająca, która stłumi nieco ilość światła wpadającego do zbiornika. Na dno odpowiedni będzie piasek lub drobny żwirek. Dorosłe Bassy przypominają w zachowaniu pielęgnice, nie należy więc przywiązywać zbytniej uwagi do aranżacji, gdyż ryby uporządkują akwarium po swojemu.</p>","Żerowanie: ,przy dnie,, ,środek,Rozmnażanie: ,jajorodne,Usposobienie: ,agresywne,, ,umiarkowane,Trudność hodowli: ,umiarkowana,Pokarm: ,mrożony,, ,ślimaki,, ,suchy,, ,żywy,Długość życia: ,8 - 12 lat"
Bocja indochińska, Syncrossus berdmorei ,21 - 26°C,20 - 25 cm,Azja,agresywne,"<p>Dorosła grupa bocji indochińskich wymaga akwarium o długości min. 180 cm, najlepiej z miękkim piaszczystym podłożem, które chętnie przeczesują swoimi delikatnymi wąsikami. Do wystroju można użyć większych gładkich kamieni, małych kamyczków (otoczaków), drewna i korzeni. Ryby te preferują słabe oświetlenie, przy którym będą rosły  tylko bardziej wytrzymałe i mało wymagające gatunki roślin, takie jak Mikrozoria, Anubiasy czy mchy. W zbiorniku możemy umieścić również doniczki czy rury PCV, w których ryby znajdą dodatkowe schronienie. W przypadku tego gatunku na każdego osobnika powinny przypadać 2-3 kryjówki, co powinno zmniejszyć ich agresję.</p>","Żerowanie: ,przy dnie,Rozmnażanie: ,jajorodne,Usposobienie: ,agresywne,Trudność hodowli: ,trudna,Pokarm: ,mrożony,, ,ślimaki,, ,suchy,, ,żywy,Długość życia: ,12 - 20 lat"
Bocja karłowata, Ambastaia sidthimunki ,24 - 30°C,5 - 6 cm,Azja,umiarkowane,"<p>Bocje karłowate wymagają akwarium o wymiarach min 75x35x30 cm. Ryby lubią poznawać swoje otoczenie, wskazana jest duża liczba dekoracji: kamieni, korzeni, gałęzi, doniczek itp. Często wciskają się w szpary, groty i szczeliny, dlatego elementy otoczenia nie mogą mieć ostrych krawędzi. Akwarium powinno być przykryte. Światło stłumione, najlepiej pływającą roślinnością. Woda dobrze natleniona i nieskazitelnie czysta, podmieniana raz w tygodniu (30%-50%). Bocje są <strong>wrażliwe na wysokie stężenia azotanów</strong>. Nie powinny być wprowadzane do nowo zakładanego akwarium. Zbiornik obsadzamy wyłącznie roślinami o wytrzymałych liściach.</p>","Żerowanie: ,przy dnie,Rozmnażanie: ,jajorodne,Usposobienie: ,umiarkowane,Trudność hodowli: ,umiarkowana,Pokarm: ,mrożony,, ,roślinny,, ,ślimaki,, ,suchy,, ,żywy,Długość życia: ,8 - 12 lat"
Bocja Kubotai, Botia kubotai ,22 - 28°C,15 cm,Azja,umiarkowane,"<p>Akwarium dla niewielkiej grupy powinno mieć min. 120 cm długośći i 30 cm szerokości, wysokość nie jest aż tak istotna. Bocje wymagają dobrze urządzonego akwarium, ale ostateczny wystrój w mniejszym lub większym stopniu zależeć będzie od osobistych preferencji.</p>","Żerowanie: ,przy dnie,, ,środek,Rozmnażanie: ,jajorodne,Usposobienie: ,umiarkowane,Trudność hodowli: ,umiarkowana,Pokarm: ,mrożony,, ,roślinny,, ,ślimaki,, ,suchy,, ,żywy,Długość życia: ,8 - 12 lat"
Bocja mysia – Bocja syjamska, Yasuhikotakia morleti ,23 - 28°C,7.5 - 8.5 cm,Azja,agresywne,"<p>Dla niedużej grupy bocji mysich, <strong>mimo ich niewielkiego rozmiaru, zaleca się min. 120 cm długości akwarium</strong>, ze względu na ich bardziej waleczny charakter od innych przedstawicieli rodzaju. Podłoże powinno być miękkie, piaszczyste lub drobnej gradacji. Do dekoracji, która przybliży naturalne środowisko, można użyć gładkich kamieni, małych kamyczków (otoczaków), drewna i korzeni. Ryby te preferują niezbyt silnie oświetlone akwaria, w których można umieścić bardziej wytrzymałe i mniej wymagające rośliny takie jak Mikrozoria, Anubiasy czy mchy.</p>","Żerowanie: ,przy dnie,Rozmnażanie: ,jajorodne,Usposobienie: ,agresywne,Trudność hodowli: ,umiarkowana,Pokarm: ,ślimaki,Długość życia: ,6 - 10 lat"
Bocja pręgowana, Botia striata ,21 - 26°C,8 - 10 cm,Azja,umiarkowane,"<p>Dla grupki tych aktywnych ryb niezbędne będzie ok. 110 litrowe i przede wszystkim długie akwarium. Korzenie, gałęzie, gładkie kamienie oraz piasek wymieszany ze żwirem nada zbiornikowi bardziej naturalny charakter. Światło nie powinno być zbyt jasne. Z roślin najlepiej sprawdzą się wytrzymałe, przyczepiane do dekoracji Mikrozoria, Anubiasy itp. W zbiorniku powinno być dużo kryjówek i zakamarków, które bocje uwielbiają zwiedzać. Chętnie wciskają się między wąskie szpary, dlatego też dekoracje muszą być pozbawione ostrych krawędzi, a szczeliny na tyle duże aby w nich nie ugrzęzły. Szczelna pokrywa uchroni je przed wyskoczeniem z akwarium.</p>","Żerowanie: ,przy dnie,, ,środek,Rozmnażanie: ,jajorodne,Usposobienie: ,umiarkowane,Trudność hodowli: ,umiarkowana,Pokarm: ,mrożony,, ,roślinny,, ,ślimaki,, ,suchy,, ,żywy,Długość życia: ,5 - 8 lat"
Bocja tygrysia, Syncrossus helodes ,24 - 30°C,25 - 30 cm,Azja,agresywne,"<p>Dla grupy dorosłych bocji tygrysich niezbędne będzie akwarium o długości min. 180 cm, z miękkim piaszczystym podłożem, drobnej gradacji, które chętnie przeczesują swoimi delikatnymi wąsikami. Do dekoracji można użyć większych gładkich kamieni, małych kamyczków (otoczaków), drewna i korzeni. Bocje preferują słabo oświetlone akwaria, w których można umieścić bardziej wytrzymałe i mniej wymagające rośliny takie jak Mikrozoria, Anubiasy czy mchy. Jeżeli nie zależy nam na naturalnym charakterze akwarium, to możemy umieścić też doniczki czy rury PCV, w których ryby chętnie będą się chowały. W przypadku tego gatunku zaleca się aby na każdego osobnika przypadały 2-3 kryjówki, co powinno ograniczyć ich agresję i walki o terytorium.</p>","Żerowanie: ,przy dnie,Rozmnażanie: ,jajorodne,Usposobienie: ,agresywne,Trudność hodowli: ,umiarkowana,Pokarm: ,mrożony,, ,roślinny,, ,ślimaki,, ,suchy,, ,żywy,Długość życia: ,12 - 20 lat"
Bocja siatkowana, Botia almorhae ,19 - 27°C,10 - 16 cm,Azja,umiarkowane,"<p>Wymagają przestronnego, długiego akwarium co najmniej 120 cm długości, najlepiej z piaszczystym lub żwirowym podłożem oraz licznymi kryjówkami. Do dekoracji można użyć korzeni, gładkich kamieni, doniczek lub rurek PCV. Uwielbiają zwiedzać i przebywać w trudno dostępnych miejscach, dlatego też wszelkie szczeliny muszą być na tyle duże aby ryby w nich się nie zaklinowały. Światło nie powinno być zbyt jasne. Jeżeli chcemy umieścić rośliny to należy wybierać tylko te z twardymi liśćmi, które mogą rosnąć przyczepione do dekoracji. Te bardziej delikatne, sadzone w podłożu prędzej czy później zostaną wykopane lub zjedzone. Pokrywa uchroni ryby przed wyskoczeniem z akwarium.</p>","Żerowanie: ,przy dnie,, ,środek,Rozmnażanie: ,jajorodne,Usposobienie: ,umiarkowane,Trudność hodowli: ,umiarkowana,Pokarm: ,mrożony,, ,roślinny,, ,ślimaki,, ,suchy,, ,żywy,Długość życia: ,5 - 8 lat"
Bocja szara – modesta, Yasuhikotakia modesta ,23 - 28°C,18 - 25 cm,Azja,umiarkowane,"<p>Niewielka grupa bocji szarych wymaga przede wszystkim długiego akwarium (min. 150 cm), z miękkim, najlepiej piaszczystym podłożem oraz dużą ilością kryjówek, zakamarków. Do dekoracji można użyć również roślin, ale tylko tych o twardych liściach, które rosną przyczepione do obiektów. Inne mogą być niszczone i wykopywane. Ryby te chętnie eksplorują wszelkiego rodzaju groty, szczeliny. Do akwarium możemy włożyć np. większy korzeń, doniczki, rurki pcv, gładkie kamienie. Należy przy tym pamiętać aby nie zostawiać zbyt wąskich, ciasnych przestrzeni, gdzie ryby mogły by utknąć. Zaleca się również pokrywę, gdyż np. przestraszone mogą wyskoczyć z akwarium.</p>","Żerowanie: ,przy dnie,Rozmnażanie: ,jajorodne,Usposobienie: ,umiarkowane,Trudność hodowli: ,umiarkowana,Pokarm: ,glony,, ,mrożony,, ,roślinny,, ,ślimaki,, ,suchy,, ,żywy,Długość życia: ,5 - 12 lat"
Bocja wspaniała, Chromobotia macracanthus ,24 - 30°C,20 - 30 cm,Azja,umiarkowane,"<p>Dla grupy dorosłych bocji niezbędne będzie akwarium o długości min. 180 cm i min. 60 cm szerokości. Podłoże powinno być miękkie, piaszczyste lub drobnej gradacji. Do dekoracji, która przybliży naturalne środowisko, można użyć większych gładkich kamieni, małych kamyczków (otoczaków), drewna i korzeni. Bocje preferują słabo oświetlone akwaria. W takich warunkach poradzą sobie bardziej wytrzymałe i mniej wymagające rośliny takie jak Mikrozoria, Anubiasy czy mchy. Jeżeli nie zależy nam na naturalnym charakterze akwarium, to możemy umieścić też ozdoby sztuczne. Ryby będą chętnie się chować w donicach glinianych, ceramicznych, plastikowych czy rurach PCV.</p>","Żerowanie: ,przy dnie,Rozmnażanie: ,jajorodne,Usposobienie: ,umiarkowane,Trudność hodowli: ,umiarkowana,Pokarm: ,mrożony,, ,roślinny,, ,ślimaki,, ,suchy,, ,żywy,Długość życia: ,15 lat"
Bojownik bezbronny – karłowaty, Betta imbellis ,24 - 28°C,6 cm,Azja,agresywne,"<p>Dla haremu bojowników łagodnych niezbędne będzie minimum 54 litrowe akwarium. Ryby najlepiej czują się w zbiorniku gęsto obsadzonym roślinami również tymi pływającymi. Mogą to być np. Wgłębka wodna, Salwinia, <a title=""Lotos Tygrysi – Lotus Tiger"" href=""https://rybyakwariowe.eu/roslina-akwariowa/lotos-tygrysi-lotus-tiger/"">Lotos</a>, <a title=""Kryptokoryna Wendta – Zwartka Wendta"" href=""https://rybyakwariowe.eu/roslina-akwariowa/kryptokoryna-wendta-zwartka-wendta/"">Kryptokoryna</a>. Bojownikom a szczególnie samiczkom należy zapewnić liczne kryjówki z korzeni, kamieni, małych doniczek, plastikowych rurek lub suchych liści. Filtracja nie powinna być zbyt silna, odpowiedni będzie mały filtr gąbkowy z regulacją przepływu. <strong>Ryby oddychają powietrzem atmosferycznym</strong>, dlatego akwarium powinno być przykryte, dzięki czemu powietrze nad wodą będzie miało przybliżoną temperaturę do temperatury wody. Bojowniki nie są właściwym wyborem do akwarium towarzyskiego, ze względu na ich terytorializm. Natomiast w towarzystwie ryb bardziej żywiołowych i większych, będą się chować. Można je trzymać np. z małymi karpiowatymi i piskorzowatymi, jednak w obecności innych gatunków mniej chętnie podchodzą do tarła. <strong>Najlepiej trzymać je w akwarium gatunkowym</strong>.</p>","Żerowanie: ,przy tafli wody,Rozmnażanie: ,jajorodne,Usposobienie: ,agresywne,Trudność hodowli: ,umiarkowana,Pokarm: ,mrożony,, ,suchy,, ,żywy,Długość życia: ,2 - 3 lat"
Brzanka Denisona, Sahyadria denisonii ,15 - 25°C,14 - 15 cm,Azja,"glony,mrożony,roślinny,suchy,żywy","<p style=""outline-width: 0px ! important; -moz-user-select: text ! important;"">Akwarium powinno mieć długość przynajmniej 120 cm, miejscami gęsto obsadzone roślinami, z rozległą przestrzenią do pływania, wyposażone w dobry filtr, wytwarzający silny prąd wody. Do dekoracji można użyć kamieni i korzeni. Rośliny mogą być problematyczne bo mogą być wykopywane z podłoża. Sprawdzą się te wytrzymałe, przyczepiane do dekoracji takie jak np. Anubiasy.</p>","Żerowanie: ,środek,Rozmnażanie: ,jajorodne,Pokarm: ,glony,, ,mrożony,, ,roślinny,, ,suchy,, ,żywy,Długość życia: ,5 - 8 lat"
Bojownik wspaniały – syjamski, Betta splendens ,24 - 30°C,6.5 cm,Azja,"agresywne,umiarkowane","<p>Bojowniki <strong>muszą mieć dostęp do tlenu pobieranego znad powierzchni wody</strong>. Rozsądnym minimum dla jednej ryby będzie ok. 20 litrowe akwarium, dla haremu samic zalecane jest min. 54 l, miejscami gęsto obsadzone roślinami, tak aby zapewnić im wystarczającą liczbę kryjówek. W akwarium tarliskowym, wśród roślinności pływającej, samiec chętnie buduje pieniste gniazdo.</p>","Żerowanie: ,przy tafli wody,Rozmnażanie: ,jajorodne,Usposobienie: ,agresywne,, ,umiarkowane,Trudność hodowli: ,łatwa,Pokarm: ,mrożony,, ,ślimaki,, ,suchy,, ,żywy,Długość życia: ,3 lata"
